OG Model Q12 Q21 Model_conf Parameter_pval Tree_size
OG0000000 ER-white NA NA 0.68 NA 20
OG0000001 ER-white NA NA 0.85 NA 38
OG0000002 ER-white NA NA 0.847222222222222 NA 27
OG0000003 ER-white NA NA 0.852631578947368 NA 27
OG0000004 ER-white NA NA 0.864583333333333 NA 23
OG0000006 ER-white NA NA 0.84 NA 32
OG0000007 ER 0.00108835975029373 NA 0.77 0.158415841584158 37
OG0000008 ER-white NA NA 0.72 NA 12
OG0000009 ER-white NA NA 0.66 NA 16
OG0000010 ARD 0.00414618532805008 0.00111024739150645 0.26 0.118811881188118 38
OG0000011 ER-white NA NA 0.93 NA 32
OG0000012 ER 0.000418939172133534 NA 0.811764705882353 0.532746017833277 23
OG0000013 ER-white NA NA 0.908163265306122 NA 26
OG0000014 ER-white NA NA 0.7 NA 27
OG0000015 ER-white NA NA 0.849462365591398 NA 33
OG0000016 ER-white NA NA 0.74 NA 22
OG0000017 ER-white NA NA 0.505376344086022 NA 5
OG0000018 ER 0.00109545225057202 NA 0.77 0.138613861386138 32
OG0000019 ER-white NA NA 0.8 NA 31
OG0000020 ER-white NA NA 0.64 NA 42
OG0000021 ER-white NA NA 0.87 NA 39
OG0000023 ER-white NA NA 0.92 NA 28
OG0000024 ER 0.00477079773095159 NA 0.83 0.435643564356435 34
OG0000025 ER-white NA NA 0.93 NA 27
OG0000026 ER-white NA NA 0.76 NA 41
OG0000027 ER-white NA NA 0.91 NA 41
OG0000028 ER-white NA NA 0.83 NA 25
OG0000029 ER 0.00054557301703206 NA 0.878787878787879 0.40039478653037 42
OG0000030 ER-white NA NA 0.86734693877551 NA 27
OG0000031 ER 0.00665249994542617 NA 0.87 0.376237623762376 40
OG0000032 ER 0.000830588174746664 NA 0.785714285714286 0.347507765649985 27
OG0000033 ER-white NA NA 0.545454545454545 NA 8
OG0000034 ER 0.000797580033886653 NA 0.747474747474748 0.2 32
OG0000035 ER 0.00183809795775687 NA 0.81 0.198019801980198 38
OG0000036 ER-white NA NA 0.76 NA 21
OG0000037 ER-white NA NA 0.8 NA 37
OG0000038 ER-white NA NA 0.9 NA 41
OG0000039 ARD 0.00163368744883615 0.00819215021285071 0.38 0.554455445544554 42
OG0000040 ER 0.000480183441615143 NA 0.814285714285714 0.80986739889725 10
OG0000041 ER-white NA NA 0.65 NA 40
OG0000042 ER-white NA NA 0.72 NA 30
OG0000043 ARD 0.00306892520499514 0.00109583414251799 0.19 0.0792079207920786 40
OG0000044 ER-white NA NA 0.7 NA 29
OG0000045 ER 0.00390158234978204 NA 0.86 0.336633663366336 40
OG0000046 ER-white NA NA 0.88 NA 42
OG0000047 ER 0.000436402591355752 NA 0.972222222222222 0.316584062919241 9
OG0000048 ER 0.00165067624554028 NA 0.85 0.257425742574257 34
OG0000049 ER-white NA NA 0.71 NA 35
OG0000050 ER 0.000221587064935961 NA 0.833333333333333 0.537378772310706 10
OG0000051 ER-white NA NA 0.79 NA 25
OG0000052 ER 0.000882326306869979 NA 0.816326530612245 0.303030303030304 26
OG0000053 ER-white NA NA 0.78 NA 41
OG0000054 ER 0.000316201430539356 NA 0.860215053763441 0.394934746280409 42
OG0000055 ER 0.00139866241844567 NA 0.74 0.650213839924268 13
OG0000056 ER-white NA NA 0.92 NA 34
OG0000057 ER-white NA NA 0.86 NA 24
OG0000058 ER-white NA NA 0.65 NA 30
OG0000060 ER-white NA NA 0.696428571428571 NA 15
OG0000061 ER 0.00118850946784888 NA 0.77 0.118811881188118 42
OG0000062 ER 0.00159972586205738 NA 0.83 0.158415841584158 41
OG0000063 ER 0.000413641766766824 NA 0.833333333333333 0.376476059811373 43
OG0000064 ER 0.00053933554448136 NA 0.793103448275862 0.489474999548756 17
OG0000065 ER-white NA NA 0.71 NA 41
OG0000066 ER-white NA NA 0.87 NA 42
OG0000067 ER 0.0149346218152738 NA 0.68 0.415841584158416 32
OG0000068 ER-white NA NA 0.85 NA 42
OG0000069 ER 0.00145984054776459 NA 0.74 0.0990099009900984 41
OG0000070 ER-white NA NA 0.71 NA 27
OG0000071 ER-white NA NA 0.91 NA 26
OG0000072 ER-white NA NA 0.72 NA 31
OG0000073 ER 0.00103152002181608 NA 0.71 0.441813560695113 32
OG0000074 ER 0.00358937802845481 NA 0.9 0.316831683168316 41
OG0000075 ER 0.000251865785986171 NA 0.956521739130435 0.551080887154882 9
OG0000076 ER 0.000819717910009416 NA 0.818181818181818 0.386504498274275 28
OG0000077 ER-white NA NA 0.821052631578947 NA 41
OG0000078 ER 0.00344804964247482 NA 0.66 0.666994335048083 11
OG0000079 ER-white NA NA 0.65 NA 10
OG0000080 ER-white NA NA 0.85 NA 32
OG0000081 ER-white NA NA 0.831168831168831 NA 43
OG0000082 ER-white NA NA 0.72 NA 40
OG0000083 ER 0.0019777713418143 NA 0.78 0.396039603960396 22
OG0000084 ER 0.000796407310961515 NA 0.73469387755102 0.401892715527005 21
OG0000085 ER 0.000456025925922985 NA 0.793814432989691 0.348372615275288 37
OG0000086 ER 0.000549263243831318 NA 0.767441860465116 0.397429823370103 13
OG0000087 ER 0.00207306048014554 NA 0.79 0.198019801980198 37
OG0000088 ER-white NA NA 0.57 NA 18
OG0000089 ER-white NA NA 0.91 NA 42
OG0000090 ER 0.000251127042929359 NA 0.862068965517241 0.53854264840943 15
OG0000091 ER 0.00054159171473041 NA 0.795918367346939 0.387830792321449 42
OG0000092 ER 0.00398251106445758 NA 0.86 0.356435643564356 36
OG0000093 ER 0.139963965798034 NA 0.32 0.178217821782178 22
OG0000094 ER-white NA NA 0.75 NA 15
OG0000095 ER-white NA NA 0.74 NA 40
OG0000096 ER-white NA NA 0.69 NA 31
OG0000097 ER 0.00101810528978706 NA 0.744897959183674 0.430912647214511 30
OG0000098 ER 0.000275117117983184 NA 0.842857142857143 0.624151125894978 36
OG0000099 ER 0.000301423388699064 NA 0.768292682926829 0.505226690472689 37
OG0000100 ER 0.00464939369820939 NA 0.83 0.441813560695113 23
OG0000101 ER-white NA NA 0.76 NA 17
OG0000102 ER-white NA NA 0.74 NA 22
OG0000103 ER-white NA NA 0.714285714285714 NA 13
OG0000104 ER-white NA NA 0.7 NA 30
OG0000105 ER-white NA NA 1 NA 3
OG0000106 ER 0.00165429960935662 NA 0.83 0.257425742574257 31
OG0000107 ER-white NA NA 0.814432989690722 NA 41
OG0000108 ER 0.00100681977096912 NA 0.822916666666667 0.390574673802921 21
OG0000109 ER-white NA NA 0.71 NA 15
OG0000110 ER 0.00129361615632959 NA 0.755102040816326 0.387830792321449 22
OG0000111 ER 0.000230837769850147 NA 0.863013698630137 0.496267809035822 41
OG0000112 ER 0.00242178004168941 NA 0.78 0.336633663366336 33
OG0000113 ER-white NA NA 0.74 NA 27
OG0000114 ER-white NA NA 0.693333333333333 NA 41
OG0000115 ER 0.000961243650167908 NA 0.89 0.321113677950051 30
