OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0005023 OU 0.0780602597622002 0.0310637811160068 0 0.943701308377772 11 4.78102620678887 4.8007975752033
OG0005025 Brownian 0.00194042006048196 NA 0.82 0.910891089108911 11 6.29480227460633 6.03661734494054
OG0005028 White 0.174995173402546 NA 0.94 0.0198019801980192 NA 5.61708115526578 5.58475136121797
OG0005098 Brownian 0.00299533485996194 NA 0.94 0.673267326732673 11 4.70056720391102 4.55848171998356
OG0005103 Brownian 0.00426891108503298 NA 0.92 0.534653465346534 10 3.71898104776625 3.65380003781218
OG0005183 Brownian 0.0018726900561621 NA 0.8 0.851485148514851 12 4.14325989318516 4.4946346136313
OG0005197 Brownian 0.00207302733201222 NA 0.92 0.772277227722772 15 5.53924815589656 4.53704170028938
OG0005210 White 0.92008500071798 NA 0.91 0.574257425742574 NA 5.01672817034445 5.03888451457504
OG0005282 White 0.670480310401964 NA 0.95 0.534653465346534 NA 4.77407321626186 4.77623833240169
OG0005308 Brownian 0.0011152685323908 NA 0.85 0.732673267326733 10 3.82728161517838 4.49111174885493
OG0005343 White 0.437220831287638 NA 0.96 0.297029702970297 NA 5.00067340558468 5.08661572057852
OG0005402 Brownian 0.00210361538539302 NA 0.8 0.792079207920792 10 4.37349999585512 3.99955851406786
OG0005443 Brownian 0.00294418311636186 NA 0.91 0.811881188118812 11 3.84531038037475 4.49684829150867
OG0005479 White 0.229970253129 NA 0.98 0.039603960396039 NA 3.74625154567384 3.75055491103169
OG0005534 OU 0.0304589629174017 0.00991768334156148 0.13 0.891089108910891 13 4.55645369123881 4.91771602262378
OG0005612 White 2.55700473195335 NA 0.96 0.0198019801980192 NA 4.75560695967286 4.7797043029064
OG0005633 OU 0.00631069049679683 0.00422985814020639 0.11 0.930693069306931 11 5.58487890049449 5.26292635189254
OG0005654 Brownian 0.00194147195722565 NA 0.85 0.673267326732673 10 4.42466069407133 4.54871742900831
OG0005667 OU 0.00201100495382701 7.23114445449118e-19 0 0.396039603960396 10 4.42072817650417 4.88597439428812
OG0005670 Brownian 0.00362433334612196 NA 0.9 0.772277227722772 10 5.83058522905676 6.00777633255428
OG0005684 Brownian 0.00617082265763964 NA 0.71 0.594059405940594 10 4.78327725359833 4.76313999592739
OG0005845 Brownian 0.00319349904808195 NA 0.79 0.792079207920792 10 4.07145260652767 4.0865004175894
OG0005853 Brownian 0.0100806956018814 NA 0.8 0.871287128712871 10 4.89607608883676 4.59275832101352
OG0005876 White 2.10395569336146 NA 0.95 0.0198019801980192 NA 4.75462660867286 4.82789339182122
OG0005897 Brownian 0.00327811800648996 NA 0.88 0.732673267326733 11 4.67898470666952 5.09921419592852
OG0005910 White 0.608561603847005 NA 0.98 0.475247524752475 NA 3.87958286967978 3.93117161689211
OG0005953 OU 4.15760815461288 0.527964484362505 0 0.673267326732673 11 6.84118731897023 6.85901164231138
OG0006090 White 0.280199456777554 NA 0.97 0.039603960396039 NA 4.84662217902977 4.89015654749045
OG0006138 Brownian 0.00136789901767863 NA 0.88 0.772277227722772 15 5.81066504018542 6.13704634527255
OG0006212 White 1.31253169557174 NA 0.94 0.316831683168316 NA 5.02459161475989 5.01714015638619
OG0006239 White 0.82079843378465 NA 0.95 0.792079207920792 NA 3.83729802558376 3.82681262012108
OG0006248 Brownian 0.00453100557334676 NA 0.89 0.752475247524752 12 3.90765456029909 4.12726947613786
OG0006437 Brownian 0.00208301696405015 NA 0.87 0.930693069306931 11 5.4876572326937 4.96422647487519
OG0006445 Brownian 0.00297957390868942 NA 0.82 0.653465346534653 13 6.32926866944314 5.74528833756883
OG0006452 White 1.08264690924059 NA 0.95 0.594059405940594 NA 3.48871187394614 3.5695622779987
OG0006833 Brownian 0.00418144832187145 NA 0.89 0.792079207920792 10 6.5585869249997 6.24310332563022
OG0006846 Brownian 0.0168972424302393 NA 0.89 0.693069306930693 10 9.4720039284486 7.22855604414832
OG0006851 White 2.39856126117771 NA 0.98 0.0198019801980192 NA 5.13574550405719 5.22399625621512
OG0006897 Brownian 0.00848680849749363 NA 0.84 0.594059405940594 12 4.33200164388585 3.73744811064893
OG0007003 Brownian 0.00357127194345117 NA 0.89 0.792079207920792 12 5.02088634865274 5.95359624420889
OG0007112 Brownian 0.00444004824264939 NA 0.9 0.633663366336634 10 4.69681961773634 5.77084045357492
OG0007131 Brownian 0.000391279348335414 NA 0.81 0.712871287128713 10 4.79792528190926 4.59401135214314
OG0007509 Brownian 0.00336556610532138 NA 0.79 0.732673267326733 11 4.1008802158702 4.30442667042135
OG0007669 Brownian 0.00371767130438158 NA 0.84 0.811881188118812 11 3.97002597800863 3.58719471538357
OG0007802 White 0.663071304306183 NA 0.94 0.554455445544554 NA 4.26401249859092 4.3216453899288
OG0008149 Brownian 0.00340266505342661 NA 0.92 0.534653465346534 11 5.47581122970998 5.47011701098207
OG0008486 White 0.391039870076116 NA 0.97 0.0990099009900984 NA 4.59407433410134 4.64215905329474
OG0008491 Brownian 0.00136820441167785 NA 0.88 0.831683168316832 10 4.1151714103346 3.63751571167371
OG0008717 Brownian 0.00158756875944942 NA 0.73 0.772277227722772 10 4.3568568091862 5.11464476274198
