OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0005001 OU 0.0198613158761679 0.00462640163715698 0.93 0.752475247524752 40 3.68226796878944 3.55054506945125
OG0005002 OU 0.0209215975614766 0.00374140011699274 0.96 0.97029702970297 38 2.85686590861954 3.18013131053958
OG0005003 OU 0.0204932764159372 0.00394241181373951 0.99 0.831683168316832 41 4.08738921583483 3.94993993127009
OG0005004 OU 0.0243560296022347 0.00495784861962742 0.89 0.99009900990099 39 3.96333938687969 4.0411023036391
OG0005005 OU 0.0174286862489557 0.00396208428153551 0.99 0.792079207920792 39 4.15852877793016 4.28786366847552
OG0005006 OU 0.0214205603683611 0.00337051062778793 0.97 0.811881188118812 40 4.11684498221179 3.80529907507119
OG0005007 OU 0.0264214508239183 0.00584143986565938 0.89 0.772277227722772 39 3.61774338156229 3.72153572545283
OG0005008 OU 0.015396813536703 0.00443962179018975 0.97 0.99009900990099 41 4.29688377512505 4.22155383428553
OG0005009 OU 0.0263262789935197 0.0048006087473136 0.97 0.910891089108911 35 4.01214812652869 3.64929712487979
OG0005010 Brownian 0.00310102919919915 NA 0.85 0.97029702970297 41 4.42402018806778 4.3457829908933
OG0005011 Brownian 0.0110183016793802 NA 0.88 0.811881188118812 23 3.5489485674898 3.09348593412801
OG0005012 OU 0.136830365036391 0.014670339177497 0.56 0.930693069306931 36 2.34356000528294 2.44003314843881
OG0005013 OU 0.010261078766774 0.00192560692157112 0.83 0.752475247524752 40 3.94483135415151 3.96028398353882
OG0005014 White 1.6245175168167 NA 0.91 0.0198019801980192 32 5.28052082402183 5.28870951730298
OG0005015 Brownian 0.006599448537529 NA 0.88 0.574257425742574 38 3.21663520356403 1.57598324884829
OG0005016 OU 0.0222300448505912 0.00278155298875024 0.97 0.891089108910891 41 5.71513251394853 5.10509536748754
OG0005017 OU 0.019484727852871 0.00373046079123722 0.96 0.95049504950495 39 4.05041619473594 3.77436567458009
OG0005018 OU 0.012159893104611 0.00284460832313188 0.86 0.732673267326733 34 2.62664377929929 2.28208389964632
OG0005019 OU 0.0800166532755028 0.0111727811456933 0.65 0.910891089108911 35 3.83921535248697 3.64052140424313
OG0005020 OU 0.0258189880751749 0.0076817685217277 0.83 0.792079207920792 38 3.33618294369726 3.48122639112201
OG0005021 OU 0.0106939536485284 0.00198867082918873 0.82 0.891089108910891 37 3.9480451263821 3.72725892408437
OG0005022 Brownian 0.00866475720011198 NA 0.87 0.792079207920792 39 2.72980840204114 1.21333520573943
OG0005023 OU 0.01256837739822 0.00215295264332967 0.94 0.633663366336634 39 3.72560296438507 3.56260529651048
OG0005024 White 2.09071783005646 NA 0.91 0.0198019801980192 41 3.22819172352289 3.40526199318719
OG0005025 OU 0.0326968692260244 0.00308325112881494 0.97 0.831683168316832 40 4.35985871856144 4.14744143605435
OG0005026 OU 0.0173550451249877 0.00414439458112778 0.96 0.752475247524752 37 3.64850728467328 3.5451776867312
OG0005027 OU 0.0363600923095847 0.0068191015012727 0.82 0.811881188118812 34 4.10465761521282 4.09862377298432
OG0005028 OU 0.010885594596827 0.00273368065789313 0.94 0.930693069306931 10 4.6339223433577 4.42250767528113
OG0005029 White 1.57001316802513 NA 0.95 0.039603960396039 37 4.04147990993109 4.1811304791843
OG0005030 OU 0.0300318500374525 0.00448861722691331 0.91 0.673267326732673 34 3.17972646860819 3.19745636488508
OG0005031 OU 0.0901092862323679 0.00542376443989685 0.69 0.891089108910891 29 1.26126293573025 1.90849562036422
OG0005032 OU 0.0215291294939031 0.00426938346687337 0.98 0.910891089108911 37 4.4690596395471 4.168022451286
OG0005033 Brownian 0.00743166993599866 NA 0.82 0.871287128712871 41 4.47026646379727 3.73410614994095
OG0005034 OU 0.024380742122637 0.00452875905311492 0.93 0.831683168316832 32 3.81647663251388 3.89362240017872
OG0005035 OU 0.0127845583263868 0.00183375009596411 0.84 0.693069306930693 37 4.45437186337038 3.9850596720123
OG0005036 OU 0.0463342984654194 0.00915352341052299 0.74 0.910891089108911 40 3.70321817307649 3.72787933573375
OG0005037 OU 0.169220136199748 0.00956276452105788 0.27 0.871287128712871 28 1.83258274145114 1.5995649902374
OG0005038 OU 0.0123131661723604 0.0037073954456946 0.95 0.831683168316832 41 3.89535471877371 3.77340459581477
OG0005039 OU 0.00872422138136626 0.00272814609594425 0.96 0.594059405940594 41 3.91864547295458 3.63462070024551
OG0005040 OU 0.0392923465027082 0.00669620547631465 0.8 0.732673267326733 35 3.27202625679556 3.52176672023371
OG0005041 OU 0.0162304556183435 0.00377149536112092 0.97 0.930693069306931 40 3.80373166454973 3.52819969076465
OG0005042 OU 0.0349455191437695 0.00234672202850451 0.82 0.891089108910891 35 2.08179074803683 2.97009522775427
OG0005043 OU 0.0218940366079968 0.00410213721168708 0.91 0.792079207920792 34 4.2647848201357 3.97889866534445
OG0005044 OU 0.036794191205249 0.010473920711034 0.74 0.851485148514851 37 3.50237315612553 3.77585982132352
OG0005045 OU 0.0241941941250873 0.00398932490459107 0.97 1 38 4.09108581683085 3.60960716004511
OG0005046 OU 0.03506822311985 0.00453020983115484 0.93 0.95049504950495 38 5.05963906835288 4.82787575977079
OG0005047 OU 0.02717447353683 0.00586907151033428 0.9 0.811881188118812 38 4.25440389250016 4.00898231817382
OG0005048 OU 0.0706339101941629 0.0124559234408076 0.7 0.910891089108911 39 3.65162931873384 3.63746992410456
OG0005049 OU 0.0177155376446095 0.00211210909142585 0.95 0.792079207920792 40 3.31818219273202 2.98467664971805
OG0005050 OU 0.012046570045743 0.00256394694803586 0.87 0.772277227722772 35 2.95615025894255 3.14641092738806
OG0005051 OU 0.0332774144770192 0.00518657404798033 0.93 0.930693069306931 33 4.5479727353497 4.42849159474556
OG0005052 OU 0.0108462786943356 0.0031554931954806 0.96 0.831683168316832 41 3.99702684777936 3.88428553338269
OG0005053 OU 0.0556592900053596 0.00274458835086323 0.56 0.891089108910891 24 0.72161466458047 1.29133842328282
OG0005054 Brownian 0.0197725500774844 NA 0.89 0.831683168316832 30 0.973825829007184 1.82461782398905
OG0005055 OU 0.0168429517713567 0.00239415454189946 0.9 0.752475247524752 41 4.5407346243502 3.95786039272052
OG0005056 OU 0.0194996324994852 0.00149423797442363 0.71 0.693069306930693 38 3.00066699083006 2.46452141512849
OG0005057 OU 0.0195726272055508 0.00381910125866651 0.94 0.851485148514851 39 3.01809855954796 3.13071223614645
OG0005058 OU 0.0835097508121434 0.0101299071402318 0.7 0.831683168316832 39 3.5621103671782 3.72923789645952
